Time (s), Optical Density (AU), Reaction Rate (AU/s)
1.10, -0.06, Not available
2.20, -0.06, 0.0013802506596792164
3.31, -0.00, 0.024352378124149237
4.41, -0.01, 0.018070046519420117
5.51, -0.02, 0.011592604900216776
6.61, -0.02, 0.007388771383248127
7.71, -0.03, 0.0045792638123095765
8.82, -0.04, 0.0023257443700220384
9.92, -0.05, 0.0006435705382845245
11.02, -0.05, -0.00045914107478805025
12.12, -0.05, -0.001166773982229884
13.23, -0.05, -0.001273451712863327
14.33, -0.05, -0.0013193125256235152
15.43, -0.05, -0.0012902533070555415
16.54, -0.00, -0.0003008121491141657
17.64, -0.02, 0.00011345813647766417
18.74, -0.03, 0.00021942315042053524
19.84, -0.03, 0.0002899277413632083
